,Hopital,Dept,ChefLieu,NbCOVID,NbLitDispo,NbDeces,NbSortieVivant,Date,Region,lat,long
415,Haguenau,Bas-Rhin,Strasbourg,19.0,0.0,0.0,0.0,2020-03-25 08:00:00,GrdEst,48.5673,7.7553
416,Saverne,Bas-Rhin,Strasbourg,12.0,0.0,2.0,1.0,2020-03-25 08:00:00,GrdEst,48.5673,7.7553
417,Troyes,Aube,Troyes,6.0,12.0,0.0,0.0,2020-03-25 08:00:00,GrdEst,48.2981,4.082
418,Charleville-Mezieres,Ardennes,Charleville-Mézières,5.0,4.0,0.0,0.0,2020-03-25 08:00:00,GrdEst,49.7783,4.7198
419,HTP-Ped,Bas-Rhin,Strasbourg,4.0,0.0,0.0,2.0,2020-03-25 08:00:00,GrdEst,48.5673,7.7553
420,HTP-Chir,Bas-Rhin,Strasbourg,26.0,6.0,8.0,1.0,2020-03-25 08:00:00,GrdEst,48.5673,7.7553
421,HTP-Med,Bas-Rhin,Strasbourg,26.0,1.0,0.0,4.0,2020-03-25 08:00:00,GrdEst,48.5673,7.7553
422,Colmar-Med,Haut-Rhin,Colmar,15.0,0.0,8.0,9.0,2020-03-25 08:00:00,GrdEst,48.1203,7.3936
423,Colmar-NC,Haut-Rhin,Colmar,9.0,0.0,2.0,3.0,2020-03-25 08:00:00,GrdEst,48.1203,7.3936
424,C-Scweitzer,Haut-Rhin,Colmar,1.0,0.0,0.0,0.0,2020-03-25 08:00:00,GrdEst,48.1203,7.3936
425,Mulhouse-MIR,Haut-Rhin,Colmar,20.0,0.0,10.0,7.0,2020-03-25 08:00:00,GrdEst,48.1203,7.3936
426,Mulhouse-SSPI,Haut-Rhin,Colmar,10.0,0.0,0.0,0.0,2020-03-25 08:00:00,GrdEst,48.1203,7.3936
427,Mulhouse-Chir,Haut-Rhin,Colmar,20.0,0.0,1.0,2.0,2020-03-25 08:00:00,GrdEst,48.1203,7.3936
428,Reims-MIR,Marne,Châlons-en-Champagne,43.0,18.0,2.0,3.0,2020-03-25 08:00:00,GrdEst,48.9556,4.3737
429,St-Dizier,Marne,Châlons-en-Champagne,9.0,1.0,0.0,0.0,2020-03-25 08:00:00,GrdEst,48.9556,4.3737
430,Colmar-Chir,Haut-Rhin,Colmar,13.0,2.0,3.0,5.0,2020-03-25 08:00:00,GrdEst,48.1203,7.3936
431,Verdun,Meuse,Verdun,9.0,5.0,2.0,0.0,2020-03-25 08:00:00,GrdEst,48.7685,5.1668
